ID	발행연월	록키 워드 
533	2013	우수 발명 아이디어 발굴 창의성 계발 지식 재산 인식 확산 실시 회 전국 교 사대 예비교 원 발명 아이디어 경진 대회 참여 교육 대학교 실과 교육 학년 학생 발명 아이디어 제안서 평가서 분석 결과 다음 발명 동기 아이디어 구상 과정 예비 교사 발명품 복합 기능 불편 점 제거 청결 환경 사용 제품 이동성 경제 에너지 절약 초점 발명 아이디어 창출 예비 교사 통합 기법 활용 기능 일체 상충 입장 문제 해결력 발상 미 감각 입각 예술 구조 입각 경제 인간 중심 환경 중시 발명 아이디어 경진 대회 참여 조별 소감 이용 물건 개선 점 도전 발명 전문가 생각 보통 사람 관심 자신감 점 개선 고민 출발 해결 소감 외 노력 변화 혁신 소감 학생 발명 평가 척 조별 자기 평가 결과 발명 아이디어 유용성 점 창출 발명 아이디어 실제 적용 확신 반면 아이디어 변형 복합 점 발명품 아이디어 접근 구상 방법 아이디어 요소 조합 수준 향상 어려움 발명 아이디어 창출 우수 점 실현 생산 아이디어 사용 방법 고도 실용 경제 자원 재활용 시대 부착 복합 편리 기능 제품 관리 발명 아이디어 창출 부족 점 창출 아이디어 느낌 결여 재료 전문 부족 부착 기술 결여 활용 방법 구체 결여 설계 표현 한계 적용 결여 발명 아이디어 창출 흥미 잠 재가 능성 지적 독창 작품 명 인간 중심 환경 시대 부합 멀티 기능 합리 시장 자동화 시스템 발명 아이디어 지식 재산 
534	2018	본고 지역 브랜드 슬로건 구성 지명 역사 지리 접근 전국 대 광역시 중 대전 회 덕 지명 사례 역사 연원 위상 영역 변화 고려 시대 이후 대전 지역 대표 회 덕 명칭 고려사 지리지 940년 태조 역사 처음 등장 확인 조선 후기 지명 영역 변화 유지 회 덕 지명 1906년 광무 공 주목 동남부 지역 청 주목 주안 면 편입 진 잠 현 지역 제외 대전 관내 대부분 차지 회덕군 확장 이후 회 덕 지명 일제 강점기 대전군 1914년 대덕군 1935년 회덕면 대전시 시역 확장 일개 행정 동 지칭 명칭 영역 축소 이상 역사 회 덕 지명 위상 영역 변화 1900년대 초 형성 시작 근대 도시 대전 위상 변화 직접 대전 역사 지리 지명 지역 브랜드 슬로건 행정 구역 회 덕 
535	2017	논문 인간 삶 구성 요소 중 주목 이청준 남도 사람 연작 대상 연작 가치 삶 형상 로 컬리 티 관점 분석 근대화 시작 도시 개발 도시 중심주의 사고 인해 타자 주변 소수성 부분 경시 중심 주변 관계 로 컬리 티 인간 인간 인간 사회 관계 상호작용 삶 형태 의의 문학 다양성 내재 인간의 삶 사회 시간 문화 경제 상호작용 완성 본고 근대 지향 사고 도시 중심주의 시각 탈피 주변 소수성 초점 관계 인간 삶의 의미 이청준 남도 사람 구성 각각 작품 남 특유 로 컬리 티 작품 전체 판소리 서편제 배경 인물 양태 남 특유 가락 감정 집합체 용서 내재 삶 회복 원동력 인간 삶 기본 집 길 위 나그네 집 존재 남도 사람 연작 집 주막 대체 집 안정 정체성 보장 반면 폐쇄 성격 주막 개방 정체성 형성 길 위 나그네 조건 환대 이청준 남도 사람 개인 집단 형성 남 특유 공동체 의식 이청준 남 로 컬리 티 근대 이후 중앙 중심주의 문학 현실 조금 극복 이청준 남 로 컬리 티 판소리 주막 환대 공동체 
536	2016	
537	2017	누 정 건축 광주목 
538	2016	지역 고유 문화 이야기 지역 관광 개발 소재 동화 마을 지역 고유 문화 이야기 활용 동화 소재 벽화 사업 추진 특징 낙후 마을 관광객 유입 지역 변화 목적 현상 주목 지역 주민 거주 관광지 의미 형성 현상 이해 분석 결과 관광객 동화 마을 인식 동화 마을 콘텐츠 상호작용 주체 능동 관광 경험 동화 마을 지역 고유 문화 이야기 기반 관광객 경험 축적 관광지 의미 형성 동화 마을 조성 초기 주민 관광객 간 갈등 존재 현재 내부인 외부인 간 접점 의미 구성 분석 지역 의역 사적 근거 확보 경우 관광객 요구 반영 충족 구성 의의 동화 마을 
539	2015	호장 소 선호 학교 
540	2016	도시 재생 원 도심 문화 리노 베이 션 프로그램 기획 인적 구조 
541	2016	도시 재생 공공 자극 
542	2017	도시 재생 공공 도시 자극 휴먼 스케일 용도 변경 지속 
543	2016	유기 건축 토포스 시퀀스 
544	2018	반복 중첩 사선 시선 미니 멀리 즘 
545	2017	빛 지각 시간 
546	2017	뉴미디어 디지털 미디어 하이데거 존재론 관계 일 시성 능동 주체 감각 확장 
547	2018	
548	2014	
549	2010	도시 형성 기본 요소 건축물 눈 형태 건물 역사 선유도공원 물 공급 정 수장 서울 도심 선유도공원 용도 이 사용 생태 디자인 측면 고찰 
550	2016	논문 근대 산업 사회 요구 제공 시설 주목 의미 역사 용도 땅 회복 주제 문화 거리 상대 소외 창 마을 주민 커뮤니티 시설 계획안 이다 
551	2017	논문 안양 공공 예술 프로젝트 지역 문화 진흥 문화콘텐츠 활성 방안 모색 안양 공공 예술 프로젝트 활성 방안 다음 지자체 지역 민간단체 설립 후원 이다 안양예술공원 작품 설치 확장 고민 필요 만안구 동안구 작품 홍보 부스 설치 지역 간 프로젝트 인식 해소 공공 예술 도시 재생 지역 문화 안양시 안양 공공 예술 프로젝트 
552	2010	도시 지속 삶 토대 도시 디자인 공공 디자인 의미 정책 방향 제시 공공 디자인 정책 평가 체계 개발 목적 선행 검토 이론 고찰 도시 디자인 공공 디자인 정책 정책 기본 원칙 통합 관계 일상 지속 도출 공공 디자인 정책 평가 틀 성과 관리 시스템 개발 단계 틀 적용 도시 공공 디자인 특성 상호 의존 존재 가정 정책 평가 요소 간 상관관계 규명 분석 실시 분석 결과 정책 대상 환경부 문 정책 목표 계획 부문 정책 평가 요소 정체성 통합 계획 지역 문화 창의성 친환경 순 분석 결과 향후 서울시 공공 디자인 정책 방향 사업 추진 환경부 문 시설물 중심 성과 중심 정체성 통합 마스터플랜 지역 기반 생활 밀착 전략 시민 참여 조직 간 유기 협력 공공 역할 정립 중심 도시 디자인 공공 디자인 정책 평가 체계 균형 관리 시스템 네크워크 분석 의사 결정 방법 
553	2012	기반 뉴미디어 참여 디자인 개념 도구 제안 지원 참여 도구 디자인 사회 이슈 적용 뉴미디어 참여 디자인 방문객 개인 콘텐츠 제작 의미 참여 유도 이슈 관심 활성 목적 참여 도구 사회 이슈 주제 특성 디자인 뉴미디어 참여 디자인 개념 참여 시나리오 토대 기획 통일 염원 적용 참여 도구 디자인 뉴미디어 참여 서비스 기법 기획 가지 목표 참여 부여 정체성 개인 경험 서비스 경험 개인화 방문 사용자 개인 콘텐츠 제작 기회 제공 이슈 적용 참여 서비스 지속 관심 유도 온라인 개인 콘텐츠 보존 관리 뉴미디어 참여 서비스 구성 요소 참여 콘텐츠 디자인 도구 제안 구성 요소 활용 사용자 참여 시나리오 설명 지원 참여 도구 통일 캡슐 대상 적용 뉴미디어 통일 캡슐 참여 콘텐츠 디자인 도구 통일 염원 
554	2017	박물관 관람 경험 지속 유지 영향 박물관 구성 요인 방법론 제시 구체 구성 요인 제시 위치 의미 스테판 비트 굿 이익 비용 모델 활용 관람 지속 요소 관련 틀 구성 구성 틀 기존 이론 검토 위치 의미 구성 속성 시각 관계 접근 관계 소속 관계 구분 관람 지속 요소 추출 시각 관계 경우 시각 호기심 시각 몰입 감 접근 관계 경우 접근 예측 접근 지속성 소속 관계 경우 소속 타당성 소속 일체감 토대 개 박물관 사례 조사 실시 개 사례 순환 중심 존재 모리얼 박물관 미국 홀로코스트 모리얼 박물관 순환 중심 존재 브로드 포트워스 현대 미술관 선택 중심 존재 워싱턴 내셔널 갤러리 관 샌프란시스코 현대미술관 선택 중심 존재 로열 온타리오 박물관 킴 벨 미술관 이다 사례 조사 결과 토대 박물관 경험 지속 구성 요인 건물 외관 외부 개별 전시물 발생 시각 호기심 전시 주제 전시 주제 전시물 전시물 간 형성 시각 몰입 감 전체 동선 암시 전체 동선 기준 유무 접근 예측 동선 선택 자율 접근 흥미 관련 접근 지속성 주제 일치 형성 소속 타당성 관람객 관람객 전시 주제 관람객 관람객 자신 간 소속 일체감 제시 제안 구성 요인 추후 박물관 디자인 분석 지침 활용 고려 박물관 관람 지속 위치 의미 이익 비용 모델 구성 요소 
555	2009	지방 지방 검토 지방 사가 국가 사례 진행 민족 일조 지방 무관심 기존 지방 거대담론 해명 과정 과거 사실 지방 필요 의미 소 들로 검토 문화사 방법론 지방 다양성 역동 검토 요소 지방 의미 소 지방 역사학 방법 한계 인접 분과 학문 이론 활용 지방 도움 인문지리학 추구 인간 상호 관계 분석 장 소성 지방 근접 개념 구성 요소 경관 활동 의미 역사학 관심 활동 지리학 구조 학 이론 실재론 구조 인간 활동 상호작용 제시 문화사 배제 구조 특정 인간 결합 양자 상호작용 검토 이론 지방 의미 역사학 지리학 조우 사실 논리 이론 정리 분야 해석 인류학 문화 기호학 방법론 이다 의미 소 일반 보편 용어 개념 화해 지방 의미 지방 지방 의미 방법론 
556	2016	김석범 대하소설 화산 2015년 10월 국내 완 출간 계기 전기 작품 부면 다각 접근 소설 관점 고찰 필요 화산 반제국주의 통일 투쟁 의미 작품 일본 미국 식민 상황 한반도 분할 점령 분단 극복 염원 제주도 분출 인식 작품 계속 식민 상황 제주도 민중 지식인 인식 점령군 자처 미군 존재 발발 진압 과정 미국 역할 미군정 정책 친일파 득세 문제 연합국 협력 조선 분할 피폐 해진 비판 분단 극복 통일 투쟁 의미 강조 화산 이 참사 비극 시종일관 감지 작가 신념 작중 인물 이방 이방 사태 평화 해결 성과 평화 협상 경찰 상황 이후 사태 악화 일로 협상 파괴 공작 정세 작품 말미 처단 이방 게릴라 지도부 책임 비판 살육 참화 후반부 이방 게릴라 일본 밀항 시키 혼신 인간 사랑 평화 염원 고독 투쟁 화산 위상 바다 성내 의미 부각 파 투쟁 바다 달 현 처단 바다 밀항 선 바다 밀도 소설 영역 바다 확장 점 차별 성과 평가 성내 배경 작가 소설 부분 제주도 정치 사회 중심지 지식인 활동 무대 게릴라 공격 미군 군경 청 거점 성내 경화 심장부 더 가까이 여건 소설 화산 반제국주의 평화 
557	2010	휴대 전화 인터넷 인식 변화 탐색 시도 디지털 컨버전스 사람 인식 조직 방식 변화 인해 개인 집단 생활 양식 가치 지향 문헌 휴대 전화 인터넷 인식 변화상 네트워크 연계 혼 종적 관계 구분 휴대 전화 사용자 휴대 전화 인터넷 시 용 자간 개념 인식 설문 조사 비교 휴대 전화 인터넷 이용자 이용자 실증 결과 이용자 정보 연결 관련 인식 차이 업무 오락 지역 정보 콘텐츠 이용 시간 휴대 전화 인터넷 휴대 전화 사회 모바일 정보 확장 측면 의미 정보 접근 자유 자연 역할 국한 행위 역할 규정 관계 인식 증강 이상 이동 대중교통 카페 개인 활동 업무 휴식 취미 역할 이해 경향 확산 설문 조사 휴대 인터넷 이용자 혼 종적 인식 차이 휴대 전화 인터넷 이용 역사 관련 위치 관련 서비스 보급 이용 초기 추정 모바일 인터넷 모바일 정보 네트워크 연결 혼 종적 관계 
558	2016	신경림 시 로컬 혼 종성 중심성 균질 균질 특성 삶 근본 로컬 회귀 전제 신경림 기행 국내 외 로컬 재현 재현 영향 텍스트 충주 출신 한국인 시인 위치 국외 여행지 반 주변국 여행자 국내 여행지 지방 사람 처지 로컬 인 지향 재현 여행지 자본력 관광객 로컬 중심 타자 시선 관찰 고발 반 주변 인 신경림 시 로컬 중심성 주변 이중 메커니즘 포착 신경림 시 로컬 혼 종성 중심성 세계화 로컬 부정 긍정 측면 오늘날 자본 세계화 로컬 영향 결정 요인 등장 자본 경계 로컬 기반 문화 서구 자본 기반 문화 혼 종 성격 점철 세계화 경계 로컬 자율 획득 독자 분절 단위 자리매김 제공 로컬 기반 문화 로컬 중심 권력 대항 자유 행복 권리 주권 민주주의 구성 형성 기반 문화 자본 중심 하위 주체 존재 주변 부적 주체 공동체 부상 작품 시인 반 주변 로컬 자본 문제 중심주의 내재 이항 대립 요소 대처 로컬 인 삶 지향 인지 성찰 국가 중심주의 배태 로컬 소외 의식 자본 팽배 주의 중앙 로컬 선망 질시 세계화 로컬 정체성 위기 로컬 당면 현실 문제 이상 경제 정치 논리 접근 문제 인간의 삶 정체성 문제 연결 문학 근원 통합 시각 해결책 신경림 로컬 세계화 자본 반 주변 혼 종성 중심성 기반 문화 
559	2010	자산 농촌 관광 마을 지역 축제 농촌 관광 마을 축제 
560	2008	국내 지자체 실시 이후 지방 정부 지역민 삶의 질 동시 지역 정체성 토대 통합 연대 의식 이중 과제 지역 역사 문화 자원 과제 동시 해결 방안 부상 방식 개발 시작 논문 위 배경 호남 역사 문화 자원 개발 활용 현황 과정 발생 문제점 지역 역사 문화 자원 개발 활용 가지 범주 구분 디지털 기반 역사 문화 자원 원천 소스 개발 방식 마케팅 전략 축제 역사 문화 개발 방식 전국 오프라인 시장 겨냥 지역 한계 목적 문화 상품 개발 방식 개발 과정 문제점 지역민 실질 주체 배제 채 관 주도 방식 관 주도 방식 지역민 대상 지역 통합 연대 의식 무산 점 지역 역사 문화 자원 활용 애초 목적 훼손 지역 한계 문화 상품 개발 현재 대부분 지역 외 주체 지역 간접 효과 상황 지역 개발 주체 과제 호남 역사 문화 자원 마케팅 문화 상품 
561	2010	역사 가치 근대 건축물 박물관 보존 주변 건축물 관계 도시 차원 지속 역사 문화 자원 보존 재생 활용 방안 명동 지구 단위 계획 구역 위치 국립극장 대한 증권거래소 중심 복원 철거 배경 진행 과정 세부 고찰 기록 도시설계 수법 활용 근대 건축물 역사 경관 보존 활용 고찰 필요 도시설계 근거 제시 결과 시사점 다음 근대 건축물 보전 활용 소유자 자발 타의 보전 명분 역사 문화 가치 경제 가치 부여 개발 보전 양립 가치 도시설계 수법 지역 지구 차원 조율 제도 계획 차원 배려 공공 건물 소유주 간 계획 경제 만족 협상 과정 도시설계 차원 인센티브 필요 근대 건축물 도시설계 수법 보존 활용 
562	2013	
563	2010	글 국가 기획 제작 문화 영화의 역사 성 한국전쟁 이후 1960년대 문화 영화 제작 상영 관람 경험 분석 1950년대 반공 이데올로기 기반 국가 정체성 국민 통합 대한민국 대내외 승인 문화 영화 제작 전후 문화 영화 재현 남한 지역 시각 반공 이념 냉전 의식 기반 지역 고유 역사 삭제 방식 진행 미국 정점 냉전 오리엔탈리즘 이중 시선 내면 화이자 지역 지방 과정 문화 영화 균질 역사 기록 기억 구성은 전쟁 이후 근대 질서 수립 정권 안정 목적 1960년대 산업화 결부 향토 담론 소환 근대 이전 문화 국가 권력 아래 재배치 결과 초래 문화 영화 제작 상영 지역 엘리트 성공 동원 지역 엘리트 문화원 순회 영사 활동 적극 참여 일상생활 경험 주체 대중 지역민 관객 위치 문화 실천 지역민 대중 계몽 교화 영화 상영 장 오락 통속 장 유하 국가 문화 기획 모습 그럼에도 불구하고 근대화 도시화 표상 영화 관람 지역민 욕망 지역 엘리트 발전 담론 영화 산업 논리 결합 상설 극장 건립 봉합 역설 상황 연출 문화 영화 영화 국민 국가 대중 동원 지역 엘리트 향토 냉전 오리엔탈리즘 일민주의 상설 극장 
564	2010	이승복 기념관 기존 공관 형태 현재 기념관 형태 건립 반공 이데올로기 정착 일종 국가 기획 다방면 지원 고착 화해 글 기존 반공 담론 반공 내포 대상 맥락 미비 문제의식 기존 공백 문화콘텐츠 관점 실증 심화 사례 분석 스토리텔링 방법론 사용 과정 이승복 기념관 권장 관람 동선 기념관 핵심 본관 전시실 전시 구조 쌍둥이 구조 확인 동상 생가 본관 학교 군용 장비 산책로 묘소 오름길 야생화 단지 환시 교육 경험 본관 반복 이승복 학교 위치 강원도 평창군 용평면 획득 이승복 사건 테마 복원 재현 창조 과정 지정 관람 동선 형태 완성 이야기 이야기 공존 쌍둥이 이야기 구조 환시 교육 중첩 구조 기념관 반공 이데올로기 강화 재생산 현재 반공 평화 객관 단계 발전 모습 기존 전시 평화통일 관점 과거 미래 전시 구현 모색 나가야 이승복 기념관 반공 이데올로기 스토리텔링 전시 콘텐츠 문화콘텐츠 
565	2016	본고 소수 자와 테제 손 홍규 소설 서사 담론 비인 모티프 다면 양상 기획 의미 망 논급 글 손 홍규 소설 비인 계열 체 인물 형상 유표 동시 몸 스케일 한정 집 고향 확장 스케일 결합 상실 문화 현상 장 소감 논제 형상화 비인 모티프 기획 서사 동물 인간 계열 체 현시 경계 집 아토 포스 질서 인간 실존 조건 탈장 소화 유목 삶 이면 귀신 인간 계열 체 고향 비 인간 호명 존재 착종 역사 적 경계 유한 손 홍규 소설 비인 모티프 기획 담론 향방 윤리 전언 비인 가시 형상 아토 포스 반복 손 홍규 소설 비인 모티프 토포스 감각 견지 사회 질서 몸 집 고향 경계 상대 시도 서사 투쟁 자리 손 홍규 비인 모티프 집 장 소감 스케일 서사 헤테로 토포스 거주 투쟁 
566	2010	글 식민지 후반기 문학 작품 대상 국인 식민지인 일본인 조선인 여행자 정주 자라 중층 구분 평양 인식 표상 주체 평양 토 필리아 발생 평양 제국 일본인 여행자 평양 전적지 색 향 명승지 인식 민자 이자 여행자 낭만 욕망 전유물 식민 조선인 여행자 평양 식민 권력 변동 폐허 고도 이방인들 평양 노스 텔 어적 시간 관념 토 필리아 대상 이효석 빛 호리 관장 평양 토 필리아 평양 정 주자 자신 삶 위치 애착 점 여타 일본인 조선인 차이 토지 애정 평양 자신 삶 위치 애착 평양 토 필리아 근원 고적 고물 고도 평양 자리 이효석 빛 근대 초기 제국 일본인 식민지 조선인 고도 전적지 색 향 방식 인식 표상 평양 중심 평양 토 필리아 식민 식민 정 주자 목소리 당시 조선 문화 지정학 위상 주조 평양 고도 여행자 시선 정 주자 관점 토 필리아 지방 
567	2009	거리 정보 매체 공공 사인 정보 유용성 핵심 가치 가로 시설물 통합 디자인 추구 공공 사인 사업 디자인 일 관성 정보 연속 확보 거리 경관 요소 다양성 바탕 심미 가치 간과 연구자 경관 요소 공공 사인 정보 특성 조명 경관 지각 자 상호 관계 발생 심미 평가 개입 어포던스 개념 도입 공공 사인 내재 역동 특성 연구자 공공 사인 인지 생태 지각 어포던스 확장 개념 심미 어포던스 파악 심미 어포던스 경관 공공 사인 대면 보행자 선택 능동 발휘 입장 경관 공공 사인 심미 평가 대상 선호도 형성 평가 참여 관여 협력 행태 심미 어포던스 보행자 참여 수준 비교 가설 심미 어포던스 적용 공공 사인 사례 해석 어포던스 외적 요인 거리 역사 맥락 공공 사인 구성 외적 정보 심미 어포던스 지원 공공 사인 심미 어포던스 총체 인지 공공 사인 심미 어포던스 해석 정보 고려 가독성 조절 주변 경관 시각 연속 확보 구조물 크기 축소 역사 맥락 특성 개입 다양성 특성 수렴 심미 어포던스 보행자 관여 정도 참여 정도 협력 정도 관계 형성 참여 협력 정도 사인 보행자 능동 경관 미 적 평가 선호 긍정 영향 심미 어포던스 공공 사인 보행자 능동 탐색 결론 제시 공공 사인 어포던스 심미 어포던스 관여 협력 참여 
568	2009	한국 청학동 전통 시대 이상향 원형 청학동 통시 개 관해 변이 쇄신 현상 청학동 고려 후기 지리산 화개 인근 최초 비정 조선 초기 한양 남산 청학동 조선 중 후기 최초 정지 인근 지역 지방 명승 지로 분포 양상 근대 청학동 지명 전국 분포 현상 현대 하동군 청암면 묵계 청학동 고착 청학동 이상향 정체성 선경 주거 촌 관광지 쇄신 전개 지리산 청학동 이상향 변이 
569	2008	Take Care I Love You 장 소감 서사 영화 모티프 대도시 파리 스토리텔링 
570	2008	로컬 로 컬리 티 지역 문학 전통 지역구 심주 근대성 지구 지역 연대 이질 혼 종성 미 결정 
571	2006	휴대 전화 확산 이동 중 연결 상호작용 성 증대 구성 활성 주장 공적 사시 규범 파괴 이야기 휴대 전화 이용 인식 형태 공적 역할 변화 이론 검토 실증 조사 분석 결과 시공간 미시 적조 정과 다 의적 휴대 전화 이용 고정 논리 조정 활용 인식 변화 모바일 친구 항시 연결 휴대 전화 이용 공존 분 위상 공유 사회 행태 변화 관찰 공적 의미 역할 변화 휴대 전화 이용 행태 특성 지배 의미 인식 변화 규범 정착 분석 공적 시공간 미 시적 조정 다 의적 항시 연결 모바일 친구 
572	2014	문화 융성 시대 강조 창조 지역 공동체 자생 실천 의미 지역 운영 창조 내용 스토리텔링 전략 분석 목적 창조 지역 선정 대구읍성 상징 거리 정선 아라 촌 대상 자료 수집 스토리텔링 단계 분류 분석 방법 분석 스토리텔링 분석 결과 대구읍성 상징 거리 역사 기반 대구 도심 역사 일상 문화 거리 재현 발견 정선 아라 촌 스토리텔링 재구성 정선 생활 문화 회복 사례 반영 스토리텔링 회복 기여 지역 문화 활기 문화예술 콘텐츠 자리매김 지역 주민 자발 참여 바탕 주민 창조 인력 지역 콘텐츠 활용 창조 자원 마지막 창조 지역 반영 스토리텔링 구성 전략 필요 내용 논의 
573	2008	이미지 
574	2011	학교 이 전적지 리노 베이 션 재생 공공 
575	2009	축제 도시 마케팅 문화 
576	2009	
577	2009	
578	2016	사카이 미나토 시 만화 콘텐츠 활용 지역 활성 일본 대표 사례 지역 침체 상점가 만화가 미즈 키시 루 작품 사용 활성 결과 오늘날 사카이 미나토 시 돗토리 현 대표 관광지 자리매김 초기 지역 활성 사업 주민 생활 중심 현재 관광객 감소 과제 해소 시 번성 지속 케이 참여자 의사 반영 사업 계획 수정과 상황 문제점 보완 대대적 뉴 얼 사업 진행 뉴 얼 사업 지역 활성 방안 지속 관리 개발 필요 점 시사 사카이 미나토 시 이전 선행 사카이 미나토 시의 소개 활성 방안 보고 주목 경향 활용 사례 분석 이후 수정과 검토 반영 뉴 얼 사업 언급 점 착 목 사카이 미나토 시의 지역 활성 전략 성공 사례 요인 분석 진행 뉴 얼 사업 사카이 미나토 시의 지역 활성 사례 한국 지역 활성 방안 전략 시사점 제공 동시 지속 지역 개발 정책 필요 환기 일본 돗토리 현 사카 이미나 토시 미즈키 지역 활성 뉴 얼 사업 
579	2010	10년 간 일본 대대적 행정 구역 개편 진행 시정촌 감소 지각 변동 경험 월경지 형성 주목 일본 시정촌 통합 과정 정치 관점 일본 시정촌 통합 추진 배경 경과 행정 구역 개편 이 지방 분권 국가 재정 위기 극복 구조조정 성격 결과 일본 시정촌 통합 시 균등 진행 지역 시정촌 통합 재정 속성 인구 속성 입지 영역 의사 결정 정치 다각 정치 분석 행정 구역 기본 속성 점 행정 구역 재편 지역 특수 일반 동시 고려 신중 접근 필요 정치 행정 구역 개편 지방 분권 접근 월경지 일본 
580	2009	글 인간 삶 터 로컬 주목 인간 삶 가치 가치 실현 대안 질서 모색 학문 제안 일 복합 인간 삶 전개 로컬 근대성 중심 지향 사고 모순 투영 배제 대립 차이 다양성 발현 소통 공생 장이 근대성 성찰 바탕 로 컬리 티 로 컬리 티 지역 특성 인간 삶 근본 의미 가치 품 근대성 로컬 저변 다양성 소수성 일상 근대성 병리 치유 가치 내재 점 로 컬리 티 주목 로컬 로컬 사람 현실 당면 문제 진단 로컬 소통 공생 장 현장 자율 다양성 주변 소수성 로 컬리 티에 내재 가치 인간 삶 근본 의미 가치 확인 시도 대안 질서 패러다임 형태 학문 제안 제시 로컬 로 컬리 티 로 컬리 톨로 근대 지역 
581	2010	공공 디자인 도시 공원 가이드라인 공공 
582	2015	체험 접합 방식 
583	2013	외국인 관광객 비 맥락 관광 관광 도시 서사 모빌리티 도시 변화 도시 프로그램 
584	2009	서울 한강 양화 진 근대 개 시장 경지 
585	2009	아파트 단지 입구 경관 조절 환경 조형물 기능 역할 이해 현황 파악 분석 문제점 개선 방안 제시 목적 대상지 아파트 외부 특성 우수 아파트 상 서울시 아파트 단지 선정 조형물 디자인 요소 특성 물 요소 인적 요소 기능 요소 분류 진입 환경 조형물 분석 분석 결과 아파트 단지 진입 조형물 설치 성과 관계 조형물 역할 조형물 자체 상징 아파트 단지 전체 상징 랜드마크 조형물 기능 부족 개선 아파트 단지 이미지 아파트 브랜드 단지 설계 컨셉 연관 의미 함축 아파트 단지 적극 활용 방안 제시 바 진입 설치 환경 디자인 수단 환경 조형물 입구 부각 진입 이미지 역할 도시 아파트 주변 환경 조화 환경 조형물 아파트 주민 시각 정서 안정 제공 통행 활기 불어 주거 삶 도움 환경 조형물 브랜드 홍보 효과 단지 특성 경쟁력 확보 도시 전체 주거 문화 질 계기 환경 조형물 아파트 단지 진입 외부 경관 브랜드 아이덴티티 주거 환경 
586	2009	기념 공원 기념관 기억 재현 방식 기억 정치 관심 증대 목적 관점 과거 기억 기억 선택 배제 과정 수반 과정 주목 특정 사회 집단 정체성 사회 관계 글 기억 정치 갈등 구조 특정 경험 매개 로컬 기억 국가 기억 형성 메커니즘 주목 과정 로컬 내 외부 주체 간 경합 대립 구체 원폭 피폭자 경험 피폭 지라 히로시마 평화기념공원 분석 대상 원폭 피폭 지라 히로시마 경험 히로시마 로 컬리 티 반영 동시 피해자 중심 전쟁 기억 피폭 내셔널리즘 상징 글 내용 다음 구성 장 패망 직후 일본인 평화 의식 관련 피폭 히로시마 기억 피폭 내셔널리즘 국가 기억 형성 과정 분석 장 평화 기념 공원 설립 과정 설립 주체 재현 방식 내용 고찰 평화 기념 공원 재현 기억 가해자 피해자 전개 기억 정치 히로시마 기억 국가 기억 간 대항 타협 과정 분석 장 히로시마 기억 국가 기억 수렴 이유 인지언어학 제창 자라 프레임 개념 가족 국가 프레임 분석 
587	2008	춘천 원주 강릉 강원도 대표 도시 개념 입각 도시 경관 문화 측면 비교 고유 춘천 원주 강릉 고유 인터넷 매개 형태 표출 의미 구성 파악 목표 춘천 원주 강릉 인터넷 정보 수요 고유 구성 요소 분석 인터넷 지식검색 도시 의미 차별 설명 분석 자료 인터넷 포털 사이트 네이버 지식검색 서비스 수집 질 양 분석 병행 결과 도시 간의 의미 구성 유의미 차이 춘천 강릉 여행지 관광지 의미 구성 원주 신흥 상업 교육 중심 도시 의미 관광지 여행 지로 춘천 강릉 차이점 춘천 추상 형태 도시 자체 여행지 의미 강릉 경우 자연경관 중심 관광지 의미 구성 지식검색 매개 한장 소적 의미 구성 과정 의미 경합 갈등 경험 공유 의미 갱신 고유 상호작용 패턴 발견 인터넷 의미 춘천 원주 강릉 
588	2006	안도 다다오 전 체험 
589	2009	경관 구조 경관 소비 상품 
590	2010	임자도 장포 사례 중심 변천 어업 공동체 고찰 일반 어업 공동체 생활 필요 확보 어로 활동 종사 여타 문화 정치 경제 지리 과정 형성 어업 공동체 특징 공동체 경계 육지 바다 확장 어업 공동체 육지 거주 지역 바다 작업 연계 연계 이해 어업 공동체 내포 개념 경제 활동 문화 역사 변화 파악 육지 바다 연계 어업 공동체 환경 조건 결정 대부분 구성원 사회적 상호작용 새우 잡이 형성 마을 장포 경우 새우 방식 생산품 유통 판매 교통수단 발달 개선 어선 어로 방법 변화 관련 사회적 상호작용 연 망 어업 공동체 연계 어업 공동체 장포 우잡 
591	2009	도시 메타 담론 도시 진정 도시 정체성 도 시브 래 
592	2009	테란 바 재생 
593	2016	
594	2006	축제 개최 관광지 대상 축제 관광지 매력 영향 관계 상관관계 비교 축제 아이템 관광지 연관 파악 실시 가지 결론 도출 활동 관련 항목 야간 활동 휴식 프로그램 다양성 축제 안내 정보 환경 여건 청결 명성 이미지 축제 목표 경험 자원 인적 서비스 지역 주민 태도 종사 원 서비스 축제 매력 요인 관광지 매력 요인 상호 영향 관계 축제 매력 관광지 매력 상관관계 존재 중 축제 매력 축제 목표 인적 자원 요인 관광지 매력 경험 인적 자원 요인 상관관계 축제 관광지 매력 
